"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"IS8283",10.2580631090412,2.7849306147614,8.71863351316079,29.6492135841213,40.3130569501702,42.8122990702886,0.105593294982208,29.4338239325272
"IS8685",9.46304147094718,2.74557844823057,8.31397359262282,30.1225387982181,39.9203138215684,42.5398873879163,0.0961695858311992,23.010016091084
"IS8882",9.78895153886517,2.90361498913412,8.26830224846746,31.0044826524033,40.7461919834765,42.9225306278255,0.0985987177732859,23.0146432830996
"IS929",10.1223995679857,2.61264926039001,8.56998903042204,27.5024779143233,38.7304580832412,43.3767631448672,0.168553739444919,27.4435776693864
"IS9468",8.44258154401902,3.27080048168822,7.52844637943578,28.5336777055109,39.3568697129166,40.9258632028971,0.116073196384634,23.5110442648878
"IS9586",9.68270769027144,2.50356394031968,8.55331419539835,28.0817803677354,40.1996649712733,42.3435020418267,0.0915195941330442,28.8756894557546
"IS9713",9.92925431608786,2.22796374382928,8.71017814634743,28.0571676194801,37.6472169181541,42.5322852815275,0.126483058673151,31.4779156029989
"IS9883",10.5892094265633,2.33876465007576,9.20259166789726,28.8615222761444,39.9034306236515,42.8028870308463,0.10118006296688,38.1378287282801
"IS9911",10.5030819072863,2.3936492793971,8.68105858976419,29.9193871377379,40.2734517429686,42.335888896059,0.112518559238636,35.8583585538478
"Kalaban",11.1500499222411,2.6936212920377,9.24361435359442,29.297096509873,40.3702412864135,43.187219780332,0.0916479266866974,28.533401673873
"Keninkeni",9.80566444264505,2.76301421495819,8.23303992137106,27.569204926917,40.3828736390224,43.2269278919193,0.0924400523119463,19.6454860912528
"Lata3",8.74765695158879,2.29080799417086,7.69007358694259,27.7735272407176,40.2103659680883,42.6825996906855,0.113834058421186,16.2239704433721
"Ribdahu",10.5680732295287,2.58046803528655,8.90010183641268,29.0296912649722,40.5844025561413,43.1933331975443,0.0946696114134379,26.831596606827
"ShortKaura",9.61099895948031,2.52148378438586,8.23311033049395,29.4368159150993,39.6389983017849,42.7553189739125,0.0861924434074494,20.4473525031403
"Soumba",11.0926388444918,2.72895670614802,9.38300967483267,29.0633779936923,41.0114887221322,42.9844236377291,0.0899834685381041,33.2389493117055
"SSM547",8.85148800653955,2.39944624104386,8.34261166397679,26.7689405284073,37.9952719347912,41.5335372325386,0.10291266025083,21.529915675373
"Tiandougou",10.3952405896259,3.03389039271675,8.79414391954081,28.0551530095069,40.6008619771544,41.5470546225384,0.0695859400568557,31.0040492403788
